,year,county_name,state_name,AREA.PLANTED,PRODUCTION,AREA.HARVESTED,YIELD,week,stage,percentage,overlapping,percentage_overlap,condition_class,condition_score,weekly_dayl,weekly_prcp,weekly_srad,weekly_swe,weekly_tmax,weekly_tmin,weekly_vp,Longitude,Latitude
10,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,21,PCT PLANTED,21,NONE,0,NONE,0.0,51789.7394103391,5.83879245209565,381.378043653941,0.0,21.171939225163,9.65517275388905,1228.19071544151,-91.2119625,39.9786775349858
11,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,22,PCT PLANTED,36,NONE,0,NONE,0.0,52419.6654416044,2.30439402276294,416.522531281228,0.0,26.3651742168222,14.2632026485882,1640.79167414663,-91.2119625,39.9786775349858
12,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,23,PCT PLANTED,63,NONE,0,NONE,0.0,52909.6754494915,1.75710757105878,410.135030229826,0.0,28.280498902186,16.2173575102889,1856.29212562432,-91.2119625,39.9786775349858
13,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,24,PCT PLANTED,78,NONE,0,NONE,0.0,53244.0249532896,4.32413477175845,336.794221994241,0.0,29.1596897721612,18.6296456906469,2173.46284503932,-91.2119625,39.9786775349858
14,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,25,PCT PLANTED,88,NONE,0,NONE,0.0,53411.1417293938,9.78130017218418,338.277649605528,0.0,27.1126464250186,16.3530198497534,1885.55475129602,-91.2119625,39.9786775349858
15,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,26,PCT PLANTED,94,NONE,0,NONE,0.0,53404.9731528348,7.12150453237072,407.717274178596,0.0,29.4729595768542,16.9945400708214,1943.60976902299,-91.2119625,39.9786775349858
16,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,27,PCT PLANTED,98,NONE,0,NONE,0.0,53225.7461209339,17.0705346631514,320.758695523618,0.0,29.2742989556692,19.5163587355666,2269.96436657802,-91.2119625,39.9786775349858
17,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,28,PCT BLOOMING,25,NONE,0,NONE,0.0,52879.936522911,0.870419994813792,400.229973087998,0.0,32.3489493230078,21.0672506725458,2504.43861123767,-91.2119625,39.9786775349858
18,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,29,PCT BLOOMING,46,PCT SETTING PODS,10,NONE,0.0,52379.4627950028,12.15252144592,313.916865922796,0.0,31.3449159539467,21.4771511895783,2570.04164263149,-91.2119625,39.9786775349858
19,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,30,PCT BLOOMING,64,PCT SETTING PODS,23,NONE,0.0,51740.3045067845,15.9604150885316,311.649108589096,0.0,28.5096878204121,19.2436045007535,2236.3127322716,-91.2119625,39.9786775349858
20,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,31,PCT BLOOMING,77,PCT SETTING PODS,35,NONE,0.0,50980.8524699063,4.97216809424984,391.422402836698,0.0,26.1508252836273,15.6733295750075,1793.67332581509,-91.2119625,39.9786775349858
21,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,32,PCT BLOOMING,84,PCT SETTING PODS,55,NONE,0.0,50120.3203875429,1.28091742403511,370.610514731712,0.0,29.2590570818586,19.1506968955554,2227.2166018018,-91.2119625,39.9786775349858
22,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,33,PCT BLOOMING,93,PCT SETTING PODS,65,NONE,0.0,49177.4270054827,3.25767753116642,384.202131778088,0.0,28.6724400870621,17.4965008544735,2013.73434096628,-91.2119625,39.9786775349858
23,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,34,PCT BLOOMING,97,PCT SETTING PODS,83,NONE,0.0,48169.5077946965,0.0,453.267884866667,0.0,26.1923146336431,13.2215751020267,1521.10269564512,-91.2119625,39.9786775349858
24,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,35,PCT SETTING PODS,94,NONE,0,NONE,0.0,47112.0310064935,6.67491448030727,305.932890459288,0.0,28.2057579053614,17.9573800542897,2058.59441450998,-91.2119625,39.9786775349858
25,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,36,PCT SETTING PODS,100,PCT DROPPING LEAVES,5,NONE,0.0,46018.4996931282,0.583460425809154,382.494106262252,0.0,26.4467086685431,14.852616027546,1707.79896431371,-91.2119625,39.9786775349858
26,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,37,PCT DROPPING LEAVES,15,NONE,0,NONE,0.0,44900.6334524703,2.25995295306568,368.638413558395,0.0,27.5893207503312,14.634336681595,1683.90191341999,-91.2119625,39.9786775349858
27,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,38,PCT DROPPING LEAVES,35,NONE,0,NONE,0.0,43768.7572108169,0.671834843890745,383.485991205254,0.0,23.8232266677299,10.2952026449211,1299.04733542134,-91.2119625,39.9786775349858
28,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,39,PCT DROPPING LEAVES,65,PCT HARVESTED,11,NONE,0.0,42632.3074675325,3.92730556517306,331.724778211762,0.0,24.5459220773126,11.8682460171719,1411.00717282883,-91.2119625,39.9786775349858
29,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,40,PCT DROPPING LEAVES,85,PCT HARVESTED,26,NONE,0.0,41500.4216473827,0.718187698743064,368.953270262475,0.0,24.1915731373502,8.12747757853144,1142.18669008247,-91.2119625,39.9786775349858
30,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,41,PCT DROPPING LEAVES,96,PCT HARVESTED,49,NONE,0.0,40382.539129694,1.89356775402994,299.712537555092,0.0,21.0373173200275,7.41943444650683,1064.85512652838,-91.2119625,39.9786775349858
31,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,42,PCT DROPPING LEAVES,100,PCT HARVESTED,72,NONE,0.0,39288.9793949859,6.11867581465992,193.297092403159,0.0,19.0208037110702,10.3088821350842,1269.68743574932,-91.2119625,39.9786775349858
32,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,43,PCT DROPPING LEAVES,100,PCT HARVESTED,85,NONE,0.0,38231.4628541565,0.270253369212881,267.768748440096,0.0,12.8228316611328,1.25194462132155,697.330197770956,-91.2119625,39.9786775349858
33,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,44,PCT HARVESTED,91,NONE,0,NONE,0.0,37223.4888584293,3.47526488590404,244.823109575499,0.0,18.8583268668248,6.32698505272465,998.584813059232,-91.2119625,39.9786775349858
34,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,45,PCT HARVESTED,93,NONE,0,NONE,0.0,36280.5278292315,6.01158147692485,191.086888033945,0.0,17.2775648174552,8.22809654700642,1139.03286006884,-91.2119625,39.9786775349858
35,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,46,PCT HARVESTED,97,NONE,0,NONE,0.0,35419.9096070203,1.26970203435179,263.997311961467,0.0,14.3162749499616,0.304780200151994,630.327506872849,-91.2119625,39.9786775349858
36,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,47,PCT HARVESTED,99,NONE,0,NONE,0.0,34660.3543584217,1.61507032697208,202.665082069403,8.96839031078336e-05,10.8446826805411,-0.0321043834794944,631.789434477945,-91.2119625,39.9786775349858
37,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,48,PCT HARVESTED,100,NONE,0,NONE,0.0,34021.0744456016,0.525801519081599,173.851713787098,0.0,8.46068365149158,-0.275993139102883,605.441715266464,-91.2119625,39.9786775349858
38,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,18,PCT PLANTED,14,NONE,0,NONE,0.0,50054.9184672491,1.23380642112229,442.21267635137,0.0,26.342623372862,11.8320784131326,1398.05161792668,-91.2119625,39.9786775349858
39,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,19,PCT PLANTED,45,NONE,0,NONE,0.0,50921.9990014702,3.44932173372202,353.772263643339,0.0,27.4322783599382,15.7235505969873,1783.09500607091,-91.2119625,39.9786775349858
40,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,20,PCT PLANTED,67,NONE,0,NONE,0.0,51689.3755143883,7.15210781511037,350.882601299814,0.0,25.8299392347796,14.2339367864413,1633.38040228584,-91.2119625,39.9786775349858
41,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,21,PCT PLANTED,80,NONE,0,NONE,0.0,52337.8357740137,6.71035285559801,298.292900279502,0.0,23.6586086777956,14.8319852999103,1690.73596420531,-91.2119625,39.9786775349858
42,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,22,PCT PLANTED,82,NONE,0,NONE,0.0,52848.8747677882,2.43804165741387,388.453525593876,0.0,21.5791614811025,10.9166851270844,1314.87121646641,-91.2119625,39.9786775349858
43,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,23,PCT PLANTED,90,NONE,0,NONE,0.0,53206.2840376899,9.57097917176204,385.135694720365,0.0,25.4575349252968,14.3806297484989,1654.04600006605,-91.2119625,39.9786775349858
44,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,24,PCT PLANTED,95,NONE,0,NONE,0.0,53397.802410944,3.5278931629538,402.431570729202,0.0,24.7545645680389,13.9766248458567,1603.9989839,-91.2119625,39.9786775349858
45,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,25,PCT PLANTED,98,NONE,0,NONE,0.0,53416.5244182262,2.45609311506579,420.667112394303,0.0,27.2212006846294,15.2641019347718,1753.36794255917,-91.2119625,39.9786775349858
46,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,26,PCT PLANTED,99,NONE,0,NONE,0.0,53261.76454645,15.2887620662645,345.635937190412,0.0,28.9845611246039,17.885654975678,2058.99797368067,-91.2119625,39.9786775349858
47,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,27,PCT PLANTED,100,NONE,0,NONE,0.0,52939.1362705985,1.84751972491996,361.899139369898,0.0,30.1557427051809,19.8762210189756,2331.78224934936,-91.2119625,39.9786775349858
48,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,28,PCT BLOOMING,60,NONE,0,NONE,0.0,52459.8565808013,4.85000881927544,363.657461352677,0.0,30.9352339929881,20.0391291313854,2357.44669031219,-91.2119625,39.9786775349858
49,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,29,PCT BLOOMING,78,PCT SETTING PODS,35,NONE,0.0,51839.4225482801,5.45560499909956,375.036941497661,0.0,30.3530061288547,19.3971717627894,2261.35138439879,-91.2119625,39.9786775349858
50,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,30,PCT BLOOMING,85,PCT SETTING PODS,55,NONE,0.0,51095.9822144542,0.830483214208467,427.5254981402,0.0,29.9645253521471,17.7796177313743,2045.75278337063,-91.2119625,39.9786775349858
51,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,31,PCT BLOOMING,89,PCT SETTING PODS,62,NONE,0.0,50248.7208850848,1.87694437773138,350.079371792252,0.0,31.9741151650318,21.4421842660602,2563.98020079953,-91.2119625,39.9786775349858
52,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,32,PCT BLOOMING,93,PCT SETTING PODS,78,NONE,0.0,49316.4926308656,5.26712668581764,351.914363561405,0.0,24.6039328551999,13.9775633469133,1613.58252560934,-91.2119625,39.9786775349858
53,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,33,PCT BLOOMING,98,PCT SETTING PODS,89,NONE,0.0,48316.8699843788,0.0400676304556172,407.929438802303,0.0,29.3500205802029,17.2776642903368,1984.12462555134,-91.2119625,39.9786775349858
54,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,34,PCT BLOOMING,100,PCT SETTING PODS,95,NONE,0.0,47265.6001615719,4.95192697846811,329.754619843105,0.0,25.3571247263476,14.5130923760285,1662.66958925508,-91.2119625,39.9786775349858
55,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,35,PCT SETTING PODS,99,PCT DROPPING LEAVES,10,NONE,0.0,46176.4647524351,4.67864395845056,346.925313415752,0.0,27.0886728802255,16.1709306533241,1867.48132517449,-91.2119625,39.9786775349858
56,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,36,PCT SETTING PODS,100,PCT DROPPING LEAVES,35,NONE,0.0,45061.4150736645,0.417520215528264,339.50382066543,0.0,27.1293030846093,16.6748497926263,1912.18898276096,-91.2119625,39.9786775349858
57,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,37,PCT DROPPING LEAVES,60,NONE,0,NONE,0.0,43930.9477749403,6.4942313156184,319.673248752406,0.0,23.9722979614998,13.289555986031,1572.02629864746,-91.2119625,39.9786775349858
58,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,38,PCT DROPPING LEAVES,80,PCT HARVESTED,20,NONE,0.0,42794.5915337463,0.143777995669237,336.416347422339,0.0,18.4462994320081,8.06926831836883,1091.83672553102,-91.2119625,39.9786775349858
59,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,39,PCT DROPPING LEAVES,92,PCT HARVESTED,44,NONE,0.0,41661.4894560923,0.0,364.376487152017,0.0,26.2059294268069,12.9166792438416,1505.42021498134,-91.2119625,39.9786775349858
60,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,40,PCT DROPPING LEAVES,99,PCT HARVESTED,75,NONE,0.0,40541.0011151142,3.63972163570771,308.85667383315,0.0,25.1185988758277,11.5433609395774,1386.68062694487,-91.2119625,39.9786775349858
61,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,41,PCT DROPPING LEAVES,100,PCT HARVESTED,85,NONE,0.0,39443.2865271226,0.0,313.340012140328,0.0,17.9741930894074,5.23667532505577,894.588441057119,-91.2119625,39.9786775349858
62,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,42,PCT DROPPING LEAVES,100,PCT HARVESTED,91,NONE,0.0,38379.8394604953,3.40986375903359,287.469827919595,0.0,14.9996721337339,1.57659446271362,715.713904169032,-91.2119625,39.9786775349858
63,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,43,PCT HARVESTED,95,NONE,0,NONE,0.0,37363.8871674758,2.45676647967727,250.810085772416,0.0,18.9301357384261,5.61837442022806,951.862662074438,-91.2119625,39.9786775349858
64,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,44,PCT HARVESTED,98,NONE,0,NONE,0.0,36410.6173617067,2.34717667151304,188.432872858026,0.0,12.2503376636456,3.20218916841361,853.160839852723,-91.2119625,39.9786775349858
65,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,45,PCT HARVESTED,100,NONE,0,NONE,0.0,35537.1147528179,4.12894780524248,209.720499342208,0.0,14.0105292807266,3.1384734150413,864.299872976283,-91.2119625,39.9786775349858
66,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,46,PCT HARVESTED,100,NONE,0,NONE,0.0,34761.9443151188,0.50692477336382,210.916155449125,0.0,12.3703499144592,1.50745356376777,745.712669196452,-91.2119625,39.9786775349858
67,1982,adams_illinois,ILLINOIS,128400.0,4636100.0,125800.0,2.16842105263158,47,PCT HARVESTED,100,NONE,0,NONE,0.0,34104.3210005207,3.90377015395364,154.719322205712,0.464118108151244,4.11647880574493,-3.48827198755514,490.153354690204,-91.2119625,39.9786775349858
68,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,19,PCT PLANTED,5,NONE,0,NONE,0.0,50803.7889114571,2.58627003240428,380.7650853369,0.0,20.816832134917,9.44753834656774,1224.93658135285,-91.2119625,39.9786775349858
69,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,20,PCT PLANTED,21,NONE,0,NONE,0.0,51586.5835569943,3.62196128290677,393.655101615534,0.0,21.2624538101013,9.94888801796709,1241.71878971398,-91.2119625,39.9786775349858
70,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,21,PCT PLANTED,45,NONE,0,NONE,0.0,52253.1975088443,1.92206910153693,436.628379434793,0.0,23.1150291617669,10.4586787543265,1278.62975794543,-91.2119625,39.9786775349858
71,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,22,PCT PLANTED,67,NONE,0,NONE,0.0,52784.9322263232,3.37552756687667,387.184187247723,0.0,22.4094217053175,11.0574628805653,1340.23196943714,-91.2119625,39.9786775349858
72,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,23,PCT PLANTED,81,NONE,0,NONE,0.0,53165.1489306389,0.0,465.923985316326,0.0,27.7143278575767,14.1641185953523,1646.37633632444,-91.2119625,39.9786775349858
73,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,24,PCT PLANTED,97,NONE,0,NONE,0.0,53380.9254912246,1.50695319871522,388.131389808795,0.0,29.2982151492324,17.0953197783508,1962.43029777379,-91.2119625,39.9786775349858
74,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,25,PCT PLANTED,99,NONE,0,NONE,0.0,53424.5249904282,0.556714040972795,413.066273961795,0.0,33.0679225633729,19.9186885682311,2329.85189224838,-91.2119625,39.9786775349858
75,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,26,PCT PLANTED,100,PCT BLOOMING,6,NONE,0.0,53294.3472102043,1.57067581474474,367.901151704683,0.0,32.6116412524761,21.2126424908609,2524.05000384068,-91.2119625,39.9786775349858
76,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,27,PCT PLANTED,100,PCT BLOOMING,21,NONE,0.0,52995.131971522,0.266045086455678,463.31281762809,0.0,30.0308350848848,15.3167419813101,1677.3753031328,-91.2119625,39.9786775349858
77,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,28,PCT BLOOMING,47,NONE,0,NONE,0.0,52537.3655478513,0.0,401.989028229979,0.0,34.1146679725638,21.2996574371009,2429.48206783221,-91.2119625,39.9786775349858
78,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,29,PCT BLOOMING,67,PCT SETTING PODS,18,NONE,0.0,51936.0284374234,0.42011124722603,397.35248708316,0.0,37.1039921617309,23.1822009326137,2677.74507301366,-91.2119625,39.9786775349858
79,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,30,PCT BLOOMING,78,PCT SETTING PODS,33,NONE,0.0,51208.9937243476,1.89781671127716,387.621100616268,0.0,34.2371810883174,20.8351149261071,2290.47981786188,-91.2119625,39.9786775349858
80,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,31,PCT BLOOMING,90,PCT SETTING PODS,60,NONE,0.0,50375.3896237901,1.97606468934751,378.852260689244,0.0,34.1080279373883,20.2468493060837,2039.72249445673,-91.2119625,39.9786775349858
81,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,32,PCT BLOOMING,95,PCT SETTING PODS,72,NONE,0.0,49454.1861884725,0.0,431.109911802778,0.0,32.4269414327332,17.9679377571037,1678.65558127544,-91.2119625,39.9786775349858
82,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,33,PCT BLOOMING,99,PCT SETTING PODS,91,NONE,0.0,48463.1810421006,0.0573624110110862,413.714078469944,0.0,37.4946988300902,22.2838598517278,2001.35061404867,-91.2119625,39.9786775349858
83,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,34,PCT BLOOMING,100,PCT SETTING PODS,97,NONE,0.0,47418.4004424084,3.3843587350857,348.784220057298,0.0,34.7858789409851,21.741631449966,2095.79403792561,-91.2119625,39.9786775349858
84,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,35,PCT BLOOMING,100,PCT SETTING PODS,100,NONE,0.0,46333.9027250904,1.15892820406182,388.757339328728,0.0,32.2989659030599,17.7021813330712,1556.25471784858,-91.2119625,39.9786775349858
85,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,36,PCT SETTING PODS,100,PCT DROPPING LEAVES,34,NONE,0.0,45221.8835659918,3.83126880519605,354.213724961079,0.0,32.9699059087954,18.0575020807627,1653.74403343584,-91.2119625,39.9786775349858
86,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,37,PCT DROPPING LEAVES,60,PCT HARVESTED,9,NONE,0.0,44093.0190884587,5.37994511260089,325.693026789483,0.0,25.469989228383,12.523054650285,1413.33860631119,-91.2119625,39.9786775349858
87,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,38,PCT DROPPING LEAVES,80,PCT HARVESTED,17,NONE,0.0,42956.941476507,3.11334133896282,323.068758234736,0.0,20.8690031898048,7.39861210707764,1119.39836916934,-91.2119625,39.9786775349858
88,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,39,PCT DROPPING LEAVES,96,PCT HARVESTED,40,NONE,0.0,41822.8136870942,0.0,354.561881813025,0.0,27.8990830484777,12.5239735313795,1447.51979293692,-91.2119625,39.9786775349858
89,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,40,PCT DROPPING LEAVES,98,PCT HARVESTED,78,NONE,0.0,40699.9255926856,0.0,322.176635570194,0.0,24.5480705675323,10.5574295502088,1317.13756996086,-91.2119625,39.9786775349858
90,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,41,PCT DROPPING LEAVES,100,PCT HARVESTED,89,NONE,0.0,39598.2903924054,4.3085650564581,276.132374366736,0.0,19.3976059787678,6.73845283351957,1018.24304886892,-91.2119625,39.9786775349858
91,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,42,PCT DROPPING LEAVES,100,PCT HARVESTED,93,NONE,0.0,38529.1815580204,11.5091031594009,129.91027544167,0.0,13.7761533928338,7.93042489536484,1072.30052688849,-91.2119625,39.9786775349858
92,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,43,PCT DROPPING LEAVES,100,PCT HARVESTED,96,NONE,0.0,37505.5611534397,0.225364372296329,251.429618678786,0.0,17.2234604154782,5.73100122588722,925.827908823976,-91.2119625,39.9786775349858
93,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,44,PCT HARVESTED,98,NONE,0,NONE,0.0,36542.332760238,6.62568978025936,220.633827480923,0.0,16.5256348921428,6.15729134683907,1002.83551457019,-91.2119625,39.9786775349858
94,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,45,PCT HARVESTED,99,NONE,0,NONE,0.0,35656.3252871539,5.526816952251,179.118855639352,0.0,10.9991840254469,3.49109874970269,813.591739046395,-91.2119625,39.9786775349858
95,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,46,PCT HARVESTED,100,NONE,0,NONE,0.0,34865.9344289849,1.51221514311426,212.733412892408,0.0,12.132708158659,2.72224062854564,764.89437346941,-91.2119625,39.9786775349858
96,1983,adams_illinois,ILLINOIS,124100.0,2865400.0,123500.0,-12.5631578947368,47,PCT HARVESTED,100,NONE,0,NONE,0.0,34190.349436987,11.9895501180479,196.99468169321,0.0,13.8082724836696,1.86632051176956,712.541267650392,-91.2119625,39.9786775349858
